,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
0,Scrypt,PoW/PoS,41.99995383,42
2,Scrypt,PoW/PoS,1055184902.04,532000000
4,SHA-256,PoW/PoS,0.0,0
5,X13,PoW/PoS,29279424622.5027,314159265359
7,SHA-256,PoW,17927175.0,21000000
8,Ethash,PoW,107684222.6865,0
9,Scrypt,PoW,63039243.3000049,84000000
10,X11,PoW/PoS,9031294.37563393,22000000
11,CryptoNight-V7,PoW,17201143.1449131,0
12,Ethash,PoW,113359703.0,210000000
13,Equihash,PoW,7383056.25,21000000
14,SHA-512,PoS,2741570000.0,3600570502
15,Multiple,PoW,11406219141.0,21000000000
16,SHA-256,PoW/PoS,1288862.0,22000000
18,X11,PoW/PoS,0.0,1300000
19,SHA-256,PoS,11995334.8847328,12500000
20,Scrypt,PoW,5768310.0,21000000
24,X15,PoW/PoS,25542535.5881841,350000000
27,X11,PoW,11149733.9976203,20000000
29,SHA-256,PoW,0.0,1600000
30,X13,PoS,0.0,7000000
35,X13,PoW/PoS,0.0,6000000
36,Scrypt,PoS,0.0,16403135
37,Scrypt,PoW,12205795.4449549,64000000
39,Scrypt,PoW/PoS,18135099.992959,16768584
40,SHA-256,PoW,0.0,32000000
42,Scrypt,PoW/PoS,635423900.0,0
44,Multiple,PoW,1688254250.0,2000000000
45,Scrypt,PoW,88.0,384000000000
46,SHA-256,PoW,170204389.754849,169795588
47,Scrypt,PoW,128940951.183046,250000000
48,Scrypt,PoW,7357794.7925,100000000
49,Scrypt,PoW/PoS,123062801.128773,0
50,Quark,PoW,259557164.91477,247000000
51,Groestl,PoW,49548585.1412917,84000000
52,Scrypt,PoW,33442988.3440364,48166000
53,X11,PoW,0.0,21000000 
54,Scrypt,PoW/PoS,42579.476901,500000
56,Scrypt,PoW,0.0,27580000
60,Scrypt,PoW/PoS,0.0,47433600
61,Scrypt,PoW,7219956.64626131,21000000 
62,Scrypt,PoW/PoS,1039116.65144562,1000000
63,Scrypt,PoW,4703879.51824446,13140000
64,Multiple,PoW/PoS,0.0,114000000
71,Scrypt,PoS,0.0,100000000
73,X11,PoW,4996986.20575291,18000000
74,Scrypt,PoC,39999997299.8568,40000000000
75,SHA-256,PoW/PoS,0.0,0
76,Groestl,PoW/PoS,3304487.74735637,4380000
77,Multiple,PoW,15929530669.1206,16555000000
78,X11,PoW/PoS,0.0,3720000
79,Scrypt,PoW,0.0,2043962
80,SHA-256,PoW,18773857500.0,21000000000
81,Scrypt,PoW,12539015186.822,13500000000
82,Scrypt,PoW,20910478.8062499,21000000 
83,Scrypt,PoW,0.0,75000000
84,Scrypt,PoW,218871896.499999,299792458
85,Scrypt,PoW,19496786.31025,32000000
86,PoS,PoS,5679705.0,0
89,Scrypt,PoW,0.0,100000000000
90,X11,PoS,0.0,100000000
92,NIST5,PoW/PoS,0.0,624000
93,SHA-256,PoW,0.0,2602410
94,Scrypt,PoS/PoW/PoT,461829905.32893,0
95,Scrypt,PoW,1142732.14912776,11235813
98,NeoScrypt,PoW,208669093.00773,336000000
99,Scrypt,PoW,884125802.0,1420609614
100,Scrypt,PoW,65672720.4708748,70000000
101,Scrypt,PoW,41658647.9999715,72245700
103,X11,PoW/PoS,0.0,7000000
106,X15,PoW/PoS,0.0,0
107,Scrypt,PoW/PoS,89266933.684704,120000000
108,Multiple,PoW,0.0,42000000
110,X11,PoS,1678520090.7713,0
112,Scrypt,PoW,90595753018.6314,90600000000
113,X11,PoW/PoS,17650913.9743456,22000000
114,SHA-256,PoW,21089348.999,21000000
115,X11,PoW/PoS,0.0,3293010
117,X13,PoW/PoS,0.0,21600000
120,Scrypt,PoW,151447649.8,265420800
122,Scrypt,PoW,19326319.14375,20000000
124,Scrypt,PoW,1104344.22938102,1350000
125,Scrypt,PoW,0.0,82003200
127,X11,PoW/PoS,0.0,1000000
129,SHA3,PoW/PoS,61445805.0,100000000
130,Scrypt,PoW,38151999.9930997,42000000
131,HybridScryptHash256,PoW,40431856.9,200000000
133,Scrypt,PoS,21293925445.4969,0
135,Scrypt,PoW,5804204.88794916,10000000
137,SHA-256,PoW/PoS,1613836099.99999,2419200000
139,Scrypt,PoS,16180000.0,16180000
140,X13,PoW/PoS,66087096.2077108,0
143,SHA-256,PoW,0.0,50000000
144,Scrypt,PoW,2366066305.76482,15000000000
146,SHA-256,PoW,14736400.0,21000000
147,Scrypt,PoW,334709223.483138,337000000
148,X13,PoW/PoS,15156364.3306548,0
149,NeoScrypt,PoW/PoS,3220616.279225,3770000
151,Scrypt,PoW/PoS,222677226.014206,420000000
153,Scrypt,PoW/PoS,73959274.625,98000000
155,Scrypt,PoW/PoS,29315567169.0888,0
156,Scrypt,PoW,0.0,12000000
157,Scrypt,PoW,1104157.42169891,21000000
162,Scrypt,PoW,24215181.725,250000000
165,X15,PoW/PoS,0.0,1000000
166,Scrypt,PoW/PoS,0.0,1000000
168,Scrypt,PoW,25593737.1355044,51200000
170,Scrypt-n,PoW,0.0,50000000
172,Scrypt,PoW,0.0,21000000
174,X11,PoS,50707661.7493518,0
175,X11,PoW/PoS,1177.0,1000
176,SHA-256,PoW,563336541.299966,888000000
179,Multiple,PoS,80260463.7331396,100000000
180,SHA-256,PoW,43536800.0,47011968
181,PHI1612,PoS,1622326490.46336,2300000000
182,X11,PoW/PoS,1431851.00002479,10000000
183,SHA-256,PoW,22935396.0,42000000
185,SHA-256,PoW,0.0,2625000
186,SHA-256,PoW,2278150.0,80000000
187,SHA-256,PoW,200911.79151896,250000
188,X11,PoW,1207310.0,0
189,Scrypt,PoW/PoS,1098952592.6,1600000000
190,Scrypt,PoW/PoS,50235211.141939,100000000
191,X13,PoW/PoS,0.0,0
193,Scrypt,PoW,23150892.1679687,23000000
194,X11,PoW,0.0,0
195,Scrypt,PoST,32021108.4136696,0
196,Lyra2REv2,PoW,51173723.8166347,84000000
197,Scrypt,PoW,119606941.0,265420800
199,Scrypt,PoW/PoS,0.0,2000000
200,X11,PoW/PoS,6950831.0970606,5500000
202,Multiple,PoS,100000000.0,0
203,SHA-256,PoW,39195739.362088,45000000
205,X13,PoW/PoS,33093725.4123502,0
206,Scrypt,PoW/PoS,0.0,50000000
208,Scrypt,PoW/PoS,147990237.978331,1000000000
210,CryptoNight,PoW,184066828814.0,184467440735
212,CryptoNight,PoW,6906587610.38292,10000000000
214,Shabal256,PoC,1813033920.0,2158812800
215,Counterparty,PoS,51173144.0,500000000
218,Scrypt,PoW,68194674.8711679,105120000
220,SHA-256,PoW/PoS,39121694.0,68000000
221,SHA-256,PoW,0.0,1000000
223,Scrypt,PoS,0.0,17000000
224,Groestl,PoW/PoS,53193831.0,0
225,Scrypt,PoW,415032420.0,1680000000
226,Scrypt,PoS,27184490.3918338,0
227,Scrypt,PoW,137517654.41397,166386000
228,X13,PoW/PoS,2022464.886973,12000000
229,Scrypt,PoW,181919.2435974,2628000
231,Scrypt,PoS,174646113.934655,500000000
232,Scrypt,PoW,152270664.860648,160000000
233,SHA-256,PoS,0.0,2014
234,Scrypt,PoW/PoS,1467841.0,0
235,X13,PoW/PoS,7096834.0,10000000
236,X13,PoW/PoS,0.0,12000000
239,Scrypt,PoW,792537250.0,1000000000
240,X11,PoW/PoS,0.0,10110000
241,Momentum,PoW,0.0,210000000
244,Stanford Folding,PoW,719416990.0,1000000000
246,X11,PoS,2689812.0,20000000
247,Multiple,PoW,65113302.0,0
248,QuBit,PoW,6365285.0,0
250,X15,PoW/PoS,0.0,0
251,Scrypt,PoW,10140044.4430293,3371337
253,Scrypt,PoW/PoS,0.0,0
254,Scrypt,PoW/PoS,11604722.0,20000000
256,Scrypt,PoW,4610340640.89,10000000000
261,SHA-256,PoW,0.0,0
263,M7 POW,PoW,708506520.0,1840000000
264,Scrypt,PoW,0.0,84000000
266,X11,PoW,0.0,33000000
267,Scrypt,PoW,619478.0,619478
273,SHA-256,PoW,12462620.0,21000000
276,Scrypt,PoW,88213.0,92000000000
277,Scrypt,PoW/PoS,0.0,0
281,X11,PoW/PoS,1513704.0,0
282,X11,PoW,0.0,33000000
286,SHA3,PoW/nPoS,63657220.0,78000000
289,X11,PoW,32221574.820996,33000000
291,Scrypt,PoW/PoS,0.0,0
294,Lyra2RE,PoW,13742738.0,65789100
301,SHA-256,PoW,14747200.0002,53760000
302,QUAIT,PoW/PoS,8568038.35935056,5060000
303,X11,PoW,15863837.5,21000000
305,vDPOS,PoS,0.0,0
307,X11,PoS/PoW,329200.01639,0
309,X11,PoW/PoS,0.0,0
315,Scrypt,PoW,32565300.0,210240000
320,Scrypt,PoW,75614500.0,250000000
321,Scrypt,PoS,100000000.0,100000000
322,Ethash,PoW,10495278.0,16906397
323,X11,PoS,0.0,2228921.184
324,X13,PoW/PoS,23042604.0,50000000
325,Blake2b,PoW,33098296530.0,0
327,SHA-256,PoW/PoS,43059794.804778,1000000000
328,X13,PoS,0.0,3852156
330,X15,PoW/PoS,13530556.4180753,26298000
331,X11,PoW,15867695.0,16000000
332,SHA-256,PoW,20997476.8650231,21000000
333,BLAKE256,PoW/PoS,10365046.9281661,21000000
334,Scrypt,PoW,0.0,16500000000
335,Scrypt,PoW,210000000.0,210000000
336,1GB AES Pattern Search,PoW,11448949.0,81962100
337,SHA-256,PoW/PoS,3669691.84494672,22000000
338,X11,PoW/PoS,10996318099.0,26550000000
339,Scrypt,PoW,69836100.0,84000000
340,CryptoNight,PoW,0.0,18446744
341,SHA-256,PoW/PoS,5129014.0,10500000
342,Quark,PoW/PoS,0.0,20190463.54969237
343,SHA-256,PoW,21739971929.0,21626280000 
345,NIST5,PoW/PoS,10069449031.9252,0
346,Blake,PoS,0.0,12000000
347,Scrypt,PoW/PoS,8998743.2411911,42000000
348,Scrypt,PoW/PoS,0.0,4200000
349,SHA-256,PoW,0.0,15000000
351,X11,PoW,0.0,2250000000
352,Scrypt,PoS,40477042.0,221052632
354,Scrypt-n,PoW,0.0,5000000000
355,X11,PoW,45110324.0,84000000
357,Scrypt,PoW,0.0,21000000000
358,Dagger,PoW,5702048.0,30000000
359,Scrypt,PoW,636462.55983338,168351300
360,SHA-256,PoW/PoS,0.0,210000000
361,CryptoNight-Lite,PoW,0.0,18400000
362,X11GOST,PoW,17263355.0,24000000
363,X11,PoW/PoS,10407269.7881868,384000000
366,SHA-256,PoW,0.0,42000000
369,Scrypt,PoS,36971236046.8073, 99000000000
371,SHA-256,PoW/PoS,4377081.60953993,40000000
372,Scrypt,PoC,2147483647.0,2147483647
373,PoS,PoS,20000000.0,20000000
375,Scrypt,PoW,6570807.65677618,20000000
376,ScryptOG,PoW,84000000.0,84000000
385,X11,PoW,13654082.4987998,25000000
388,X11,PoW/PoS,0.0,100000
390,X11,PoW/PoS,0.0,21000000
391,X11,PoW/PoS,134554941.15119,75000000
393,PoS,PoS,0.0,15000000
397,SHA-256,PoW/PoS,1195525.0,222725000
402,SHA-256,PoW,0.0,2421227
403,SHA-256,PoW/PoS,16662820.0,525000000
404,NIST5,PoW/PoS,83450403.0,90000000
408,X15,PoW/PoS,0.0,36000000
413,X11,PoW/PoS,24387724.5010828,139000000
415,NIST5,PoW/PoS,0.0,16000000
417,Scrypt,PoW/PoS,0.0,74666667
418,Scrypt,PoW/PoS,0.0,350000000
420,Scrypt,PoW,616448.0,616448
422,POS 3.0,PoS,38589808.6658096,33500000
426,Scrypt,PoW/PoS,813092338.575672,2000000000
428,Scrypt,PoW/PoS,4526324.0,44333333
431,Scrypt,PoW/PoS,100000000.0,100000000
436,X13,PoS,5000000.0,200000000
437,X11,PoW,1377917.0,25000000
438,X11,PoS,657000000.0,657000000
440,Equihash,dPoW/PoW,115898131.0,200000000
441,X11,PoW/PoS,15563873.0,50000000
443,X11,PoS,0.0,100000000
446,Scrypt,PoW/PoS,43165500.0,90000000
452,CryptoNight,PoW,7822432.72439746,10000000
454,SHA-256,PoW/PoS,595429.0,21000000
455,SHA-256,PoW,6243840.0,9736000
456,X11,PoW/PoS,657636.34549789,3000000
458,Scrypt,PoW/PoS,2581970.0,21000000
459,Multiple,PoW,1000000000.0,1200000000
462,Scrypt,PoW/PoS,1939889.0,0
463,Scrypt,PoW,116845228.0,200000000
466,X11,PoW/PoS,0.0,10000000000
472,Scrypt,PoS,169598616.0,0
475,SHA-256,PoW,9106714.0,10638298
476,Scrypt,PoW/PoW,665200057.0,3100000000
478,Scrypt,PoW,11119200.0,30000000
479,SHA-256D,PoW/PoS,19577787259.0,20000000000
482,PoS,PoS,74033806.7949683,74000000
483,Scrypt,PoW/PoS,33522957.0,0
490,Scrypt,PoW,0.0,87500000
491,X11,PoW/PoS,264678458.288619,1500000000
502,Scrypt-n,PoW,0.0,10000000
504,Lyra2Z,PoW,7568281.24956067,21400000
507,SHA-256,PoW,0.0,2000000000
509,PoS,PoS,148716816.0,39999898
516,X13,PoS,2500124.0,2500124
518,Quark,PoW,0.0,126000000
522,X14,PoW/PoS,100000000.0,100000000
523,PoS,PoS,17818682.1654,301000000
525,SHA-256D,PoW/PoS,1082162635.53683,7506000000
526,Ethash,PoW,26205539.0,26205539
533,SHA-256,PoW,0.0,100000000
534,Equihash,PoW,5613550.0,21000000
539,DPoS,DPoS,108202084.0,125000000
543,X11,PoW/PoS,18342813.0,30000000
544,Scrypt,PoW/PoS,0.0,1000000000
548,Scrypt,PoW,196297971.0,10000000000
549,Equihash,PoW,0.0,21000000
555,X11,PoW,824000000.0,500000000
560,X13,PoW/PoS,92192822723.0,850000000
563,X11,PoW/PoS,3853326.77707314,3853326.77707314
565,PoS,PoS,50000000.0,50000000
566,SHA-256D,PoW/PoS,0.0,7000000000
567,Scrypt,PoW/PoS,17089600.0,38540000 
569,Scrypt,PoW/PoS,0.0,200000000 
570,Scrypt,PoW/PoS,2449577.41533168,42000000
571,X11,PoW,61364813.0,228000000
572,PoS,PoS,20000000.0,20000000
573,X11,PoW/PoS,6069482.07721352,60000000
576,SHA-256,PoW/PoS,12416554.0,20000000
578,Scrypt,PoW/PoS,20244023.640728,33000000
580,X11,TPoS,75590369.0,76500000
581,Scrypt,PoW/PoS,11080722.3769581,28000000
585,Scrypt,PoW/PoS,10914418.0,650659833
592,X11,PoW/PoS,814671.0,5000000
593,CryptoNight,PoW,978145.0,21000000
599,Scrypt,PoW/PoS,8377873.0,144000000
600,Scrypt,PoS,33813143821.8337,32514916898
605,Scrypt,PoW/PoS,3472983.0,13000000
606,Scrypt,PoW/PoS,3315789.0,3315789
608,Quark,PoS,10517772.7391666,15000000
609,QuBit,PoW/PoS,30227750.0,78835200
622,Scrypt,PoW,894026.0,2714286
623,CryptoNight,PoW,9357088.0,25000000
625,X11,PoW/PoS,0.0,250000000
626,Lyra2RE,PoW,1876146.443596,9999999
632,X13,PoW/PoS,0.0,450000000
638,PoS,PoS,0.0,100000000
639,Scrypt,PoW/PoS,23965372.0,500000000
640,SHA-256,PoW/PoS,2526078.47525448,21000000
642,X11,PoW/PoS,5659096.95728771,9354000
643,X11,PoW/PoS,0.0,100000000
650,X11,PoW,0.0,100640000
652,Scrypt,PoW/PoS,11821728.0,20000000
653,X11,PoW,536982074.0,100000000000
654,Scrypt,PoW/PoS,308179.0,21933333
658,Scrypt,PoW,0.0,20000000
662,CryptoNight-V7,PoW,10969318.522954,185000000
663,Scrypt,PoS,2922613.96424908,55000000
664,Scrypt,PoW/PoS ,110000000.0,110000000
673,Keccak,PoW,0.0,115000000
674,Scrypt,PoW,3115258.0,3360000
675,X13,PoS,14524851.4827,14524851.4827
679,X11,PoW,30385540.0,1000000000
681,Equihash,PoW,6921653.89980891,17000000
682,Scrypt,PoW/PoS,1000000000.0,1000000000
683,Scrypt,PoW,99843408.3158479,100000000 
684,Lyra2RE,PoW,18545757.5,21000000
687,Ethash,PoW,0.0,454898394
693,X11,PoW,0.0,210000000
694,Scrypt,PoS,36050365.0,34426423
695,Dagger-Hashimoto,PoW,2232901.0,2232901
696,X11,PoW/PoS,13162749.0858027,100000000
698,Blake2S,PoW/PoS,12184195.9258495,36900000
699,X11,PoW/PoS,110630387.850471,110000000
703,Scrypt,PoW,64096052.0,4000000000
707,Scrypt,PoS,0.0,112000000
711,PoS,PoS,111135836.889,110290030
712,X11,PoW/PoS,21521322.0099142,100000000
713,NIST5,PoW,10123200.0,48252000
714,PoS,PoS,401421401.0,400000000
715,X11,PoW/PoS,121665451.643876,500000000
717,Scrypt,PoW/PoS,5368934.0,21212121
718,Scrypt,PoW/PoS,1148324.0,28600000
719,Scrypt,PoW/PoS,500000.0,1000000000
720,Scrypt,PoW,0.0,21000000
721,SHA-256,PoS,100545745.0,75000000000
722,X11,PoW/PoS,17171382.0,40000000
723,Scrypt,PoW,20276099.146524,35520400
724,Scrypt,PoW,0.0,1000000
725,Scrypt,PoS,295135466.361878,2000000000
726,SHA-256,PoW,1317747500.0,2500000000
728,PoS,PoS,11390225.9742772,30000000
732,Scrypt,PoW/PoS,21358764.0,105000000
733,X11,PoW/PoS,0.0,2093500000
737,X15,PoW/PoS,40659020000.0,90000000000
739,SHA-256,PoS,10343113.0,200084200
742,Scrypt,PoW,13673406.4325268,72000000
745,POS 3.0,PoS,100000000.0,100000000
747,CryptoNight-V7,PoW,69036016.8340164,105000000
748,536,PoW/PoS,22801882871.0,50000000000
749,Argon2d,PoW,19784224.6512734,0
750,Blake2b,PoW,133248297.0,340282367
751,Cloverhash,PoW,18407259.0885883,30000000
752,CryptoNight,PoW,1809467143.0,2000000000
753,NIST5,PoW/PoS,4171382.0,10000000
754,X11,PoW,35138975.0,100000000
755,NIST5,PoW/PoS,62942075.0,120000000
756,Skein,PoW/PoS,6804362.0,100000000
757,Scrypt,PoW,18133195.0,19276800
758,X13,PoW/PoS,21268092.0,30000000
759,Scrypt,PoW,5167775.0, 75000000
760,X11,PoW/PoS,0.0,7905634
